 time 	 RF 
0.0000e+00 	 0.00e+00 
9.6000e+01 	 -6.50e+02 
1.9200e+02 	 -1.10e+03 
2.8800e+02 	 -1.48e+03 
3.8400e+02 	 -1.82e+03 
4.8000e+02 	 -2.02e+03 
5.7600e+02 	 -2.29e+03 
6.7200e+02 	 -2.55e+03 
7.6800e+02 	 -2.79e+03 
8.6400e+02 	 -3.02e+03 
9.6000e+02 	 -3.24e+03 
1.0560e+03 	 -3.45e+03 
1.1520e+03 	 -3.65e+03 
1.2480e+03 	 -3.85e+03 
1.3440e+03 	 -4.03e+03 
1.4400e+03 	 -4.22e+03 
1.5360e+03 	 -4.39e+03 
1.6320e+03 	 -4.56e+03 
1.7280e+03 	 -4.72e+03 
1.8240e+03 	 -4.88e+03 
1.9200e+03 	 -5.03e+03 
2.0160e+03 	 -5.18e+03 
2.1120e+03 	 -5.33e+03 
2.2080e+03 	 -5.47e+03 
2.3040e+03 	 -5.60e+03 
2.4000e+03 	 -5.74e+03 
2.4960e+03 	 -5.86e+03 
2.5920e+03 	 -5.99e+03 
2.6880e+03 	 -6.11e+03 
2.7840e+03 	 -6.22e+03 
2.8800e+03 	 -6.33e+03 
2.9760e+03 	 -6.43e+03 
3.0720e+03 	 -6.53e+03 
3.1680e+03 	 -6.62e+03 
3.2640e+03 	 -6.71e+03 
3.3600e+03 	 -6.78e+03 
3.4560e+03 	 -6.85e+03 
3.5520e+03 	 -6.91e+03 
3.6480e+03 	 -6.97e+03 
3.7440e+03 	 -7.02e+03 
3.8400e+03 	 -7.07e+03 
3.9360e+03 	 -7.12e+03 
4.0320e+03 	 -7.16e+03 
4.1280e+03 	 -7.20e+03 
4.2240e+03 	 -7.24e+03 
4.3200e+03 	 -7.27e+03 
4.4160e+03 	 -7.31e+03 
4.5120e+03 	 -7.34e+03 
4.6080e+03 	 -7.38e+03 
4.7040e+03 	 -7.41e+03 
4.8000e+03 	 -7.44e+03 
