# distance SDV3 SDV4
0.00000000e+00 1.70519599e-03 4.31071414e-04
5.54401577e-01 1.16566429e-03 4.85215045e-04
1.10880363e+00 7.74819520e-04 5.36453619e-04
1.66321158e+00 5.32656326e-04 5.84788097e-04
2.21761322e+00 4.39185620e-04 6.30216731e-04
2.77201533e+00 5.30227087e-04 6.51635812e-04
3.32641697e+00 6.36483135e-04 6.37718826e-04
3.88081861e+00 6.01827109e-04 6.27800182e-04
4.43522644e+00 5.34792140e-04 6.46928384e-04
4.98962831e+00 4.92363004e-04 6.76903175e-04
5.54402971e+00 4.58632800e-04 7.04843958e-04
6.09843111e+00 4.07959888e-04 7.19270960e-04
6.65283298e+00 3.36651574e-04 7.40329793e-04
7.20724106e+00 2.77579500e-04 7.59665505e-04
7.76164246e+00 2.19490175e-04 7.90059392e-04
8.31604481e+00 1.60494426e-04 8.31027923e-04
8.87044621e+00 1.29059554e-04 8.49156699e-04
9.42484760e+00 1.30254746e-04 8.36085179e-04
9.97925568e+00 9.51599650e-05 8.55827064e-04
1.05336580e+01 7.04356207e-05 8.68495961e-04
1.10880594e+01 5.80919404e-05 8.72326433e-04
1.16424608e+01 5.94543490e-05 8.65683425e-04
1.21968632e+01 6.05603564e-05 8.61061679e-04
1.27512712e+01 4.75177658e-05 8.71591619e-04
1.33056726e+01 3.19290484e-05 8.84631532e-04
1.38600740e+01 1.79938761e-05 8.96001351e-04
1.44144754e+01 9.60571469e-06 9.03306180e-04
1.49688768e+01 1.19329807e-05 9.03930748e-04
1.55232849e+01 1.34836191e-05 9.05091583e-04
1.60776863e+01 1.13726937e-05 9.07909183e-04
1.66320877e+01 7.81487142e-06 9.12133488e-04
1.71864891e+01 5.40144629e-06 9.15745157e-04
1.77408905e+01 4.13239968e-06 9.18744132e-04
1.82952995e+01 4.00773752e-06 9.21130530e-04
1.88497009e+01 6.50453012e-06 9.22865293e-04
1.94041023e+01 1.20512186e-05 9.22908774e-04
1.99585037e+01 1.08223148e-05 9.27965331e-04
2.05129051e+01 7.42599377e-06 9.35907126e-04
2.10673065e+01 8.64588765e-06 9.35362361e-04
2.16217155e+01 1.11914005e-05 9.31031012e-04
2.21761169e+01 1.23827367e-05 9.28246533e-04
2.27305183e+01 1.22198517e-05 9.27009154e-04
2.32849197e+01 1.18059261e-05 9.27067304e-04
2.38393211e+01 1.50743645e-05 9.27327841e-04
2.43937302e+01 1.72455602e-05 9.28744499e-04
2.49481316e+01 1.83194861e-05 9.31317045e-04
2.55025330e+01 1.73164299e-05 9.36107943e-04
2.60569344e+01 1.70077074e-05 9.38298064e-04
2.66113358e+01 1.66479167e-05 9.40838479e-04
2.71657448e+01 1.58318308e-05 9.44176165e-04
2.77201462e+01 1.74628713e-05 9.45225300e-04
2.82745476e+01 1.79833478e-05 9.45783744e-04
2.88289490e+01 2.17377383e-05 9.44899453e-04
2.93833504e+01 2.18475725e-05 9.46069253e-04
2.99377594e+01 1.92901880e-05 9.48136847e-04
3.04921608e+01 2.23583484e-05 9.49422712e-04
3.10465622e+01 2.40991940e-05 9.52387869e-04
3.16009636e+01 2.25373733e-05 9.57406126e-04
3.21553650e+01 1.82325784e-05 9.62310180e-04
3.27097740e+01 1.46405819e-05 9.60259989e-04
3.32641754e+01 1.59562987e-05 9.53872572e-04
3.38185768e+01 1.32468722e-05 9.54440737e-04
3.43729782e+01 9.82735946e-06 9.57139011e-04
3.49273796e+01 8.89046714e-06 9.55147902e-04
3.54817886e+01 9.89364344e-06 9.52104572e-04
3.60361900e+01 1.15571529e-05 9.49582318e-04
3.65905914e+01 1.38810556e-05 9.47581255e-04
3.71449928e+01 1.85602366e-05 9.48444824e-04
3.76993942e+01 2.22156614e-05 9.52941307e-04
3.82538033e+01 3.07651171e-05 9.43133142e-04
3.88082047e+01 3.80344136e-05 9.34906013e-04
3.93626060e+01 4.35615293e-05 9.29495727e-04
3.99170074e+01 4.17557349e-05 9.34037031e-04
4.04714088e+01 3.91592766e-05 9.41983250e-04
4.10258141e+01 3.83954939e-05 9.50274931e-04
4.15802193e+01 3.74486917e-05 9.57002863e-04
4.21346207e+01 4.61046293e-05 9.61309765e-04
4.26890221e+01 6.47584966e-05 9.62707098e-04
4.32434273e+01 8.29770142e-05 9.59702244e-04
4.37978287e+01 1.00928170e-04 9.53059585e-04
4.43522339e+01 1.40514283e-04 9.31454706e-04
4.49066353e+01 1.96590569e-04 8.95949488e-04
4.54610367e+01 2.39005632e-04 8.69674608e-04
4.60154419e+01 2.61516514e-04 8.58078885e-04
4.65698433e+01 2.84103327e-04 8.47540912e-04
4.71242447e+01 3.18397768e-04 8.23908602e-04
4.76786499e+01 3.53372947e-04 8.01680901e-04
4.82330513e+01 3.93649068e-04 7.86077697e-04
4.87874565e+01 4.51636966e-04 7.67348160e-04
4.93418579e+01 5.51219564e-04 7.26155180e-04
4.98962593e+01 6.77382050e-04 6.86367741e-04
5.04506645e+01 7.15714123e-04 6.70059642e-04
5.10050659e+01 7.24838756e-04 6.61806320e-04
5.15594711e+01 7.16723211e-04 6.68639201e-04
5.21138725e+01 6.91367080e-04 6.90558169e-04
5.26682739e+01 6.20744133e-04 6.96169969e-04
5.32226791e+01 5.44532610e-04 6.68602413e-04
5.37770805e+01 6.15289202e-04 5.90510375e-04
5.43314857e+01 1.03638729e-03 5.09817735e-04
5.48858871e+01 1.82294857e-03 4.30446147e-04
