# distance SDV3 SDV4
0.00000000e+00 2.77712941e-03 7.26777827e-04
5.54401577e-01 2.48668622e-03 8.69938638e-04
1.10880363e+00 2.24655843e-03 9.94077069e-04
1.66321158e+00 2.05674581e-03 1.09919114e-03
2.21761322e+00 1.91725022e-03 1.18528341e-03
2.77201533e+00 1.82807073e-03 1.25235331e-03
3.32641697e+00 1.71944161e-03 1.35058444e-03
3.88081861e+00 1.50109560e-03 1.40249659e-03
4.43522644e+00 1.28843333e-03 1.46952702e-03
4.98962831e+00 1.08146307e-03 1.55167934e-03
5.54402971e+00 8.80181207e-04 1.64895086e-03
6.09843111e+00 6.84587169e-04 1.76134170e-03
6.65283298e+00 5.81064029e-04 1.86910713e-03
7.20724106e+00 5.01164875e-04 1.92378601e-03
7.76164246e+00 4.50423395e-04 1.95770152e-03
8.31604481e+00 4.28837200e-04 1.97085226e-03
8.87044621e+00 4.36405593e-04 1.96323730e-03
9.42484760e+00 3.90157249e-04 2.00352818e-03
9.97925568e+00 3.32062162e-04 2.04620091e-03
1.05336580e+01 3.42167856e-04 2.03049835e-03
1.10880594e+01 3.70175054e-04 2.00258917e-03
1.16424608e+01 4.16083552e-04 1.96247245e-03
1.21968632e+01 4.79893351e-04 1.91014865e-03
1.27512712e+01 3.26655776e-04 2.05520052e-03
1.33056726e+01 2.60027096e-04 2.12439382e-03
1.38600740e+01 2.44540133e-04 2.14166194e-03
1.44144754e+01 2.54389073e-04 2.13425909e-03
1.49688768e+01 2.89573945e-04 2.10218481e-03
1.55232849e+01 2.86591472e-04 2.13462557e-03
1.60776863e+01 2.36255873e-04 2.22591846e-03
1.66320877e+01 1.97868649e-04 2.28236616e-03
1.71864891e+01 1.81213065e-04 2.30231252e-03
1.77408905e+01 1.86990772e-04 2.28586234e-03
1.82952995e+01 2.15202090e-04 2.23301421e-03
1.88497009e+01 1.84873425e-04 2.25783722e-03
1.94041023e+01 1.45513375e-04 2.27953959e-03
1.99585037e+01 1.81461422e-04 2.25557620e-03
2.05129051e+01 1.95365748e-04 2.24455353e-03
2.10673065e+01 1.87226149e-04 2.24647275e-03
2.16217155e+01 1.68475235e-04 2.26767850e-03
2.21761169e+01 1.64907702e-04 2.29134271e-03
2.27305183e+01 1.63536373e-04 2.31741602e-03
2.32849197e+01 1.52115041e-04 2.34690635e-03
2.38393211e+01 1.70197251e-04 2.32515670e-03
2.43937302e+01 2.17783600e-04 2.25216453e-03
2.49481316e+01 1.98591573e-04 2.26499327e-03
2.55025330e+01 1.66631304e-04 2.28326372e-03
2.60569344e+01 1.43096899e-04 2.30690138e-03
2.66113358e+01 1.52626366e-04 2.31555756e-03
2.71657448e+01 1.71426058e-04 2.30087247e-03
2.77201462e+01 1.73062595e-04 2.30013393e-03
2.82745476e+01 1.63418532e-04 2.31427513e-03
2.88289490e+01 1.70886851e-04 2.30632233e-03
2.93833504e+01 1.85942132e-04 2.27936730e-03
2.99377594e+01 2.07081262e-04 2.23307428e-03
3.04921608e+01 2.39840927e-04 2.16543488e-03
3.07693615e+01 2.02254028e-04 2.16541649e-03
3.13237629e+01 2.08654499e-04 2.22203415e-03
3.18781643e+01 2.59041990e-04 2.23823963e-03
3.24325695e+01 3.73905321e-04 2.21405108e-03
3.29869747e+01 4.96838125e-04 2.12139916e-03
3.35413761e+01 5.11208142e-04 2.03617243e-03
3.40957775e+01 4.21924109e-04 2.04898650e-03
3.46501789e+01 3.35321994e-04 2.13491684e-03
3.52045841e+01 2.51400605e-04 2.21120613e-03
3.57589893e+01 2.72022677e-04 2.27785553e-03
3.63133907e+01 2.93416844e-04 2.25617317e-03
3.68677921e+01 3.00179003e-04 2.22993083e-03
3.74221935e+01 2.93078861e-04 2.23376043e-03
3.79765987e+01 2.72115984e-04 2.23751995e-03
3.85310040e+01 2.54396291e-04 2.24121055e-03
3.90854053e+01 3.49238922e-04 2.23532878e-03
3.96398067e+01 3.70435475e-04 2.16208375e-03
4.01942081e+01 3.39534599e-04 2.12190486e-03
4.07486115e+01 3.20204184e-04 2.11451622e-03
4.13030167e+01 3.12444521e-04 2.11375020e-03
4.18574200e+01 3.69590736e-04 2.11960683e-03
4.24118214e+01 5.80829103e-04 2.08035880e-03
4.29662247e+01 4.90880222e-04 1.91297254e-03
4.35206280e+01 4.33131208e-04 2.00349558e-03
4.40750313e+01 4.07581450e-04 2.06340291e-03
4.46294346e+01 4.14230337e-04 2.09269719e-03
4.51838360e+01 4.96358902e-04 2.09137565e-03
4.57382393e+01 6.04414032e-04 2.02854443e-03
4.62926426e+01 6.73661241e-04 1.94288511e-03
4.68470440e+01 7.46292993e-04 1.89420488e-03
4.74014473e+01 8.22310802e-04 1.85438874e-03
4.79558506e+01 9.01712279e-04 1.82343891e-03
4.85102539e+01 1.01282867e-03 1.80135272e-03
4.90646572e+01 1.06684375e-03 1.73431553e-03
4.96190586e+01 1.17649289e-03 1.76013843e-03
5.01734619e+01 1.34177948e-03 1.73575804e-03
5.07278652e+01 1.56269968e-03 1.66117027e-03
5.12822685e+01 1.83925882e-03 1.53637514e-03
5.18366718e+01 1.96909299e-03 1.36137241e-03
5.23910732e+01 2.14743102e-03 1.25178066e-03
5.29454765e+01 2.38673366e-03 1.18055136e-03
5.34998798e+01 2.68699834e-03 1.09786761e-03
5.40542831e+01 3.04822810e-03 1.00372790e-03
5.46086864e+01 3.47041944e-03 8.98132799e-04
