# distance SDV3 SDV4
0.00000000e+00 2.60383729e-03 7.26947968e-04
5.54401577e-01 2.31798342e-03 8.70123331e-04
1.10880363e+00 2.08233506e-03 9.93425259e-04
1.66321158e+00 1.89689116e-03 1.09685177e-03
2.21761322e+00 1.76165416e-03 1.18040538e-03
2.77201533e+00 1.67662301e-03 1.24408538e-03
3.32641697e+00 1.57574425e-03 1.33644463e-03
3.88081861e+00 1.37569080e-03 1.38577772e-03
4.43522644e+00 1.17847021e-03 1.45058532e-03
4.98962831e+00 9.84090148e-04 1.53087080e-03
5.54402971e+00 7.92547595e-04 1.62663171e-03
6.09843111e+00 6.03841501e-04 1.73786818e-03
6.65283298e+00 4.98961308e-04 1.84287445e-03
7.20724106e+00 4.27014951e-04 1.89311523e-03
7.76164246e+00 3.81987280e-04 1.92381057e-03
8.31604481e+00 3.63876228e-04 1.93495897e-03
8.87044621e+00 3.72681185e-04 1.92655995e-03
9.42484760e+00 3.28668917e-04 1.96375116e-03
9.97925568e+00 2.74902966e-04 2.00185925e-03
1.05336580e+01 2.88404495e-04 1.98341371e-03
1.10880594e+01 3.17974249e-04 1.95420627e-03
1.16424608e+01 3.63612169e-04 1.91423600e-03
1.21968632e+01 4.25318314e-04 1.86350360e-03
1.27512712e+01 2.79516098e-04 2.00002757e-03
1.33056726e+01 2.16879576e-04 2.06441060e-03
1.38600740e+01 2.03506905e-04 2.07937183e-03
1.44144754e+01 2.13933701e-04 2.07117177e-03
1.49688768e+01 2.48160039e-04 2.03981041e-03
1.55232849e+01 2.43873583e-04 2.07305956e-03
1.60776863e+01 1.92421474e-04 2.16578296e-03
1.66320877e+01 1.55147427e-04 2.22071097e-03
1.71864891e+01 1.38904987e-04 2.23998586e-03
1.77408905e+01 1.43970916e-04 2.22435757e-03
1.82952995e+01 1.70345491e-04 2.17382540e-03
1.88497009e+01 1.44917751e-04 2.19581462e-03
1.94041023e+01 1.11634748e-04 2.21459824e-03
1.99585037e+01 1.45537400e-04 2.19150796e-03
2.05129051e+01 1.57358270e-04 2.18148669e-03
2.10673065e+01 1.47097118e-04 2.18453514e-03
2.16217155e+01 1.28657251e-04 2.20517674e-03
2.21761169e+01 1.27047839e-04 2.22712243e-03
2.27305183e+01 1.26548621e-04 2.25191587e-03
2.32849197e+01 1.14798233e-04 2.28026230e-03
2.38393211e+01 1.31281602e-04 2.25921744e-03
2.43937302e+01 1.75999376e-04 2.18877965e-03
2.49481316e+01 1.58413939e-04 2.20058858e-03
2.55025330e+01 1.28969332e-04 2.21747952e-03
2.60569344e+01 1.07791682e-04 2.23917700e-03
2.66113358e+01 1.18018448e-04 2.24626902e-03
2.71657448e+01 1.36946910e-04 2.23110989e-03
2.77201462e+01 1.39320182e-04 2.23001768e-03
2.82745476e+01 1.30636705e-04 2.24389136e-03
2.88289490e+01 1.37985131e-04 2.23671412e-03
2.93833504e+01 1.52741282e-04 2.20950483e-03
2.99377594e+01 1.73566208e-04 2.16272287e-03
3.04921608e+01 2.05478296e-04 2.09585507e-03
3.07693615e+01 1.67159174e-04 2.09583715e-03
3.13237629e+01 1.71492778e-04 2.15269206e-03
3.18781643e+01 2.18478788e-04 2.17071990e-03
3.24325695e+01 3.30911542e-04 2.14993861e-03
3.29869747e+01 4.50931897e-04 2.06068647e-03
3.35413761e+01 4.64248820e-04 1.97782787e-03
3.40957775e+01 3.76473909e-04 1.99077465e-03
3.46501789e+01 2.91145523e-04 2.07557157e-03
3.52045841e+01 2.08262369e-04 2.15119123e-03
3.57589893e+01 2.27735451e-04 2.21763598e-03
3.63133907e+01 2.48294411e-04 2.19673151e-03
3.68677921e+01 2.53172009e-04 2.17113597e-03
3.74221935e+01 2.45363830e-04 2.17545987e-03
3.79765987e+01 2.24869407e-04 2.17963010e-03
3.85310040e+01 2.08130805e-04 2.18364666e-03
3.90854053e+01 3.00185173e-04 2.17815768e-03
3.96398067e+01 3.23883840e-04 2.10611825e-03
4.01942081e+01 2.97370367e-04 2.06487020e-03
4.07486115e+01 2.79122673e-04 2.05533952e-03
4.13030167e+01 2.69140874e-04 2.05353135e-03
4.18574200e+01 3.20172723e-04 2.05944572e-03
4.24118214e+01 5.19027060e-04 2.02417886e-03
4.29662247e+01 4.30938409e-04 1.86955032e-03
4.35206280e+01 3.73493822e-04 1.95795391e-03
4.40750313e+01 3.46692395e-04 2.01751571e-03
4.46294346e+01 3.50533810e-04 2.04823702e-03
4.51838360e+01 4.30857646e-04 2.05011596e-03
4.57382393e+01 5.37368585e-04 1.99088152e-03
4.62926426e+01 6.02533051e-04 1.90587668e-03
4.68470440e+01 6.69089379e-04 1.85657642e-03
4.74014473e+01 7.37038732e-04 1.81800080e-03
4.79558506e+01 8.06379365e-04 1.79015251e-03
4.85102539e+01 9.11070209e-04 1.77302817e-03
4.90646572e+01 9.57131851e-04 1.71317882e-03
4.96190586e+01 1.05795846e-03 1.74171641e-03
5.01734619e+01 1.21355313e-03 1.72089785e-03
5.07278652e+01 1.42391236e-03 1.65071944e-03
5.12822685e+01 1.68904080e-03 1.53118046e-03
5.18366718e+01 1.81253138e-03 1.36228162e-03
5.23910732e+01 1.98079133e-03 1.25713577e-03
5.29454765e+01 2.21014861e-03 1.19025097e-03
5.34998798e+01 2.50060065e-03 1.10972265e-03
5.40542831e+01 2.85215140e-03 1.01554918e-03
5.46086864e+01 3.26479622e-03 9.07731301e-04
