# Integration point output from Abaqus ODB
# ODB:   G:\01_Forschung\01_Creep\00_UMAT\UMAT_CLAUDE\Schachter_3D\G1_schachter_seed10.odb
# Step:  Load
# Frame: -1
# Time:  4.800000000000e+03
#
# Columns:
# instance  elementLabel  integrationPoint  x  y  z  SDV3  SDV4
#
G1-1 1 1 1.958306342183e+00 -6.637478136243e+00 1.020157690859e+02 8.287672042847e+00 -3.426291704178e+00
G1-1 1 2 4.106248279404e+00 -7.252777264594e+00 1.007080057392e+02 7.878140449524e+00 -4.245229721069e+00
G1-1 1 3 1.958306342183e+00 -2.960696355057e+00 9.879991668992e+01 6.852674961090e+00 -2.235039472580e+00
G1-1 1 4 6.147576849035e+00 -3.179141377556e+00 1.026472221813e+02 6.050723075867e+00 -1.920861721039e+00
G1-1 2 1 1.162288835867e+01 4.399858135382e-01 1.023849065230e+02 7.416797161102e+00 -2.468504428864e+00
G1-1 2 2 1.581887276744e+01 2.264093014466e+00 1.011300283349e+02 6.348821163177e+00 -2.095705032349e+00
G1-1 2 3 1.339207785757e+01 -3.170382301204e-01 9.984191299160e+01 5.610091686249e+00 -1.833417177200e+00
G1-1 2 4 1.295632634530e+01 3.771116977247e+00 9.891591826378e+01 7.000055789948e+00 -2.321638345718e+00
G1-1 3 1 8.805294267523e+00 8.394982244636e-01 1.022456682177e+02 7.538712501526e+00 -2.497757673264e+00
G1-1 3 2 8.080160446387e+00 1.057943364842e+00 9.839836084028e+01 6.418225765228e+00 -2.089279890060e+00
G1-1 3 3 6.377675485028e+00 2.980985469074e+00 1.018445192549e+02 6.089528083801e+00 -1.970277547836e+00
G1-1 3 4 1.013873213627e+01 4.170629388172e+00 9.877667995854e+01 5.952734470367e+00 -1.936291456223e+00
G1-1 4 1 1.021618199520e+01 -1.347566372603e+00 1.068013397548e+02 8.131165504456e+00 -2.764652490616e+00
G1-1 4 2 1.441216663973e+01 -8.781860707436e-01 1.092764654514e+02 5.837094783783e+00 -1.894310593605e+00
G1-1 4 3 8.385437495425e+00 -5.641969881064e-01 1.094328170429e+02 8.005085945129e+00 -2.657806873322e+00
G1-1 4 4 1.059735631425e+01 -3.986742181148e+00 1.087197549481e+02 8.233383178711e+00 -2.734282732010e+00
G1-1 5 1 6.757031094566e+00 -1.083991518464e+00 1.051245674839e+02 8.459068298340e+00 -2.814201593399e+00
G1-1 5 2 4.329412312070e+00 1.057495829292e+00 1.047234222933e+02 6.568547725677e+00 -2.138838529587e+00
G1-1 5 3 2.567760646655e+00 -4.542328174005e+00 1.044931143885e+02 8.436466217041e+00 -3.127862453461e+00
G1-1 5 4 4.926286535851e+00 -3.006221044972e-01 1.077560485442e+02 7.143611907959e+00 -2.342637300491e+00
G1-1 6 1 -6.323611209974e+00 -3.705161368160e+00 4.778835422670e+01 6.699039936066e+00 -2.177963256836e+00
G1-1 6 2 -1.022182541069e+01 -3.604093030932e+00 4.755002307690e+01 7.433290004730e+00 -2.456328630447e+00
G1-1 6 3 -1.057763150477e+01 -4.718487088546e+00 5.130642347927e+01 6.080156326294e+00 -1.969122767448e+00
G1-1 6 4 -8.369023053457e+00 -1.705241928681e+00 5.152333428793e+01 5.917522907257e+00 -1.896266579628e+00
G1-1 7 1 -1.143150868461e+00 -5.502232149788e+00 4.511549789088e+01 5.737045288086e+00 -1.806742191315e+00
G1-1 7 2 2.664806202359e-01 -7.384460298207e+00 4.189954219280e+01 5.202594280243e+00 -1.622069001198e+00
