# distance x y z SDV3 SDV4 distance_to_nearest_IP instance element_label integration_point
0.00000000e+00 -1.12500000e+01 -1.50000000e+01 9.79807587e+01 5.42677402e+00 -1.04377460e+01 1.32986788e+00 G1-1 31980 1
5.88842935e-01 -1.12500000e+01 -1.47055785e+01 9.74708057e+01 7.14188528e+00 -2.20071459e+00 1.24505609e+00 G1-1 18352 1
1.17768587e+00 -1.12500000e+01 -1.44111570e+01 9.69608528e+01 8.63024044e+00 -2.81576228e+00 1.03514593e+00 G1-1 18808 1
1.76652881e+00 -1.12500000e+01 -1.41167355e+01 9.64508999e+01 8.63024044e+00 -2.81576228e+00 7.45267640e-01 G1-1 18808 1
2.35537174e+00 -1.12500000e+01 -1.38223141e+01 9.59409469e+01 8.63024044e+00 -2.81576228e+00 8.56033069e-01 G1-1 18808 1
2.94421468e+00 -1.12500000e+01 -1.35278926e+01 9.54309940e+01 8.74961185e+00 -2.56819773e+00 1.25328815e+00 G1-1 40628 1
3.53305761e+00 -1.12500000e+01 -1.32334711e+01 9.49210411e+01 8.74961185e+00 -2.56819773e+00 1.27216467e+00 G1-1 40628 1
4.12190055e+00 -1.12500000e+01 -1.29390496e+01 9.44110882e+01 8.48791790e+00 -2.53658986e+00 8.96965107e-01 G1-1 46742 1
4.71074348e+00 -1.12500000e+01 -1.26446281e+01 9.39011352e+01 8.48791790e+00 -2.53658986e+00 6.46440195e-01 G1-1 46742 1
5.29958642e+00 -1.12500000e+01 -1.23502066e+01 9.33911823e+01 8.67550468e+00 -2.63315606e+00 8.17426969e-01 G1-1 18813 1
5.88842935e+00 -1.12500000e+01 -1.20557852e+01 9.28812294e+01 8.67550468e+00 -2.63315606e+00 1.10582005e+00 G1-1 18813 1
6.47727229e+00 -1.12500000e+01 -1.17613637e+01 9.23712764e+01 9.12700939e+00 -2.21011138e+00 1.43784117e+00 G1-1 41805 1
7.06611522e+00 -1.12500000e+01 -1.14669422e+01 9.18613235e+01 8.80099106e+00 -2.43504763e+00 1.43759444e+00 G1-1 41807 1
7.65495816e+00 -1.12500000e+01 -1.11725207e+01 9.13513706e+01 8.80099106e+00 -2.43504763e+00 1.13951206e+00 G1-1 41807 1
8.24380109e+00 -1.12500000e+01 -1.08780992e+01 9.08414176e+01 4.82920742e+00 -8.53584349e-01 1.00189588e+00 G1-1 15055 1
8.83264403e+00 -1.12500000e+01 -1.05836777e+01 9.03314647e+01 4.82920742e+00 -8.53584349e-01 1.12568148e+00 G1-1 15055 1
9.42148696e+00 -1.12500000e+01 -1.02892562e+01 8.98215118e+01 4.82920742e+00 -8.53584349e-01 1.49130622e+00 G1-1 15055 1
1.00103299e+01 -1.12500000e+01 -9.99483476e+00 8.93115588e+01 9.01767921e+00 -2.04112506e+00 1.23470957e+00 G1-1 57660 1
1.05991728e+01 -1.12500000e+01 -9.70041327e+00 8.88016059e+01 9.01767921e+00 -2.04112506e+00 1.02055123e+00 G1-1 57660 1
1.11880158e+01 -1.12500000e+01 -9.40599179e+00 8.82916530e+01 9.01767921e+00 -2.04112506e+00 1.11893428e+00 G1-1 57660 1
1.17768587e+01 -1.12500000e+01 -9.11157030e+00 8.77817001e+01 8.60927582e+00 -2.00923014e+00 1.18899107e+00 G1-1 46422 1
1.23657016e+01 -1.12500000e+01 -8.81714882e+00 8.72717471e+01 8.60927582e+00 -2.00923014e+00 1.47475188e+00 G1-1 46422 1
1.29545446e+01 -1.12500000e+01 -8.52272733e+00 8.67617942e+01 5.04424238e+00 -1.19378459e+00 1.70246315e+00 G1-1 18396 1
1.35433875e+01 -1.12500000e+01 -8.22830585e+00 8.62518413e+01 6.65383339e+00 -1.78947747e+00 1.30164807e+00 G1-1 31858 1
1.41322304e+01 -1.12500000e+01 -7.93388436e+00 8.57418883e+01 6.65383339e+00 -1.78947747e+00 1.06953136e+00 G1-1 31858 1
