# distance SDV3 SDV4
0.00000000e+00 6.42358685e+00 -8.38516426e+00
5.54401577e-01 7.10927296e+00 -6.89325809e+00
1.10880363e+00 7.63966799e+00 -5.68555737e+00
1.66321158e+00 8.01478481e+00 -4.76204872e+00
2.21761322e+00 8.23459816e+00 -4.12276173e+00
2.77201533e+00 8.29628468e+00 -3.80136275e+00
3.32641697e+00 8.21507835e+00 -3.56031847e+00
3.88081861e+00 8.29480362e+00 -3.39625454e+00
4.43522644e+00 8.41090870e+00 -3.23442817e+00
4.98962831e+00 8.52697945e+00 -3.02947211e+00
5.54402971e+00 8.62943077e+00 -2.87572813e+00
6.09843111e+00 8.72328663e+00 -2.73239875e+00
6.65283298e+00 8.77438927e+00 -2.63792014e+00
7.20724106e+00 8.77102661e+00 -2.66397715e+00
7.76164246e+00 8.75380898e+00 -2.71937895e+00
8.31604481e+00 8.73782539e+00 -2.67319655e+00
8.87044621e+00 8.69274426e+00 -2.62257481e+00
9.42484760e+00 8.69605541e+00 -2.62650776e+00
9.97925568e+00 8.70678711e+00 -2.60869718e+00
1.05336580e+01 8.71337891e+00 -2.58657217e+00
1.10880594e+01 8.71268463e+00 -2.57690811e+00
1.16424608e+01 8.70280457e+00 -2.58587050e+00
1.21968632e+01 8.69724751e+00 -2.59432626e+00
1.27512712e+01 8.70044613e+00 -2.57961941e+00
1.33056726e+01 8.70535564e+00 -2.56095934e+00
1.38600740e+01 8.71021748e+00 -2.54523301e+00
1.44144754e+01 8.71325016e+00 -2.53468251e+00
1.49688768e+01 8.71711636e+00 -2.53320622e+00
1.55232849e+01 8.72993565e+00 -2.53536248e+00
1.60776863e+01 8.73446846e+00 -2.53275371e+00
1.66320877e+01 8.73647976e+00 -2.52606750e+00
1.71864891e+01 8.73739433e+00 -2.52073693e+00
1.77408905e+01 8.73721313e+00 -2.51676178e+00
1.82952995e+01 8.73593616e+00 -2.51414227e+00
1.88497009e+01 8.73362160e+00 -2.51149869e+00
1.94041023e+01 8.72010231e+00 -2.50562215e+00
1.99585037e+01 8.73867512e+00 -2.50859475e+00
2.05129051e+01 8.75635624e+00 -2.50053430e+00
2.10673065e+01 8.75760651e+00 -2.50268221e+00
2.16217155e+01 8.75099087e+00 -2.50912380e+00
2.21761169e+01 8.74273586e+00 -2.51274562e+00
2.27305183e+01 8.73284054e+00 -2.51354742e+00
2.32849197e+01 8.72480774e+00 -2.51316524e+00
2.38393211e+01 8.73115063e+00 -2.51738477e+00
2.43937302e+01 8.73670578e+00 -2.51908803e+00
2.49481316e+01 8.74147415e+00 -2.51827478e+00
2.55025330e+01 8.74241257e+00 -2.51211405e+00
2.60569344e+01 8.74199581e+00 -2.50840497e+00
2.66113358e+01 8.74164963e+00 -2.50415683e+00
